index,city_id,city,country_id,last_update
0,1,A Corua (La Corua),87,2019-04-11 18:11:48
1,2,Abha,82,2019-04-11 18:11:48
2,3,Abu Dhabi,101,2019-04-11 18:11:48
3,4,Acua,60,2019-04-11 18:11:48
4,5,Adana,97,2019-04-11 18:11:48
5,6,Addis Abeba,31,2019-04-11 18:11:48
6,7,Aden,107,2019-04-11 18:11:48
7,8,Adoni,44,2019-04-11 18:11:48
8,9,Ahmadnagar,44,2019-04-11 18:11:48
9,10,Akishima,50,2019-04-11 18:11:48
10,11,Akron,103,2019-04-11 18:11:48
11,12,al-Ayn,101,2019-04-11 18:11:48
12,13,al-Hawiya,82,2019-04-11 18:11:48
13,14,al-Manama,11,2019-04-11 18:11:48
14,15,al-Qadarif,89,2019-04-11 18:11:48
15,16,al-Qatif,82,2019-04-11 18:11:48
16,17,Alessandria,49,2019-04-11 18:11:48
17,18,Allappuzha (Alleppey),44,2019-04-11 18:11:48
18,19,Allende,60,2019-04-11 18:11:48
19,20,Almirante Brown,6,2019-04-11 18:11:48
20,21,Alvorada,15,2019-04-11 18:11:48
21,22,Ambattur,44,2019-04-11 18:11:48
22,23,Amersfoort,67,2019-04-11 18:11:48
23,24,Amroha,44,2019-04-11 18:11:48
24,25,Angra dos Reis,15,2019-04-11 18:11:48
25,26,Anpolis,15,2019-04-11 18:11:48
26,27,Antofagasta,22,2019-04-11 18:11:48
27,28,Aparecida de Goinia,15,2019-04-11 18:11:48
28,29,Apeldoorn,67,2019-04-11 18:11:48
29,30,Araatuba,15,2019-04-11 18:11:48
30,31,Arak,46,2019-04-11 18:11:48
31,32,Arecibo,77,2019-04-11 18:11:48
32,33,Arlington,103,2019-04-11 18:11:48
33,34,Ashdod,48,2019-04-11 18:11:48
34,35,Ashgabat,98,2019-04-11 18:11:48
35,36,Ashqelon,48,2019-04-11 18:11:48
36,37,Asuncin,73,2019-04-11 18:11:48
37,38,Athenai,39,2019-04-11 18:11:48
38,39,Atinsk,80,2019-04-11 18:11:48
39,40,Atlixco,60,2019-04-11 18:11:48
40,41,Augusta-Richmond County,103,2019-04-11 18:11:48
41,42,Aurora,103,2019-04-11 18:11:48
42,43,Avellaneda,6,2019-04-11 18:11:48
43,44,Bag,15,2019-04-11 18:11:48
44,45,Baha Blanca,6,2019-04-11 18:11:48
45,46,Baicheng,23,2019-04-11 18:11:48
46,47,Baiyin,23,2019-04-11 18:11:48
47,48,Baku,10,2019-04-11 18:11:48
48,49,Balaiha,80,2019-04-11 18:11:48
49,50,Balikesir,97,2019-04-11 18:11:48
50,51,Balurghat,44,2019-04-11 18:11:48
51,52,Bamenda,19,2019-04-11 18:11:48
52,53,Bandar Seri Begawan,16,2019-04-11 18:11:48
53,54,Banjul,37,2019-04-11 18:11:48
54,55,Barcelona,104,2019-04-11 18:11:48
55,56,Basel,91,2019-04-11 18:11:48
56,57,Bat Yam,48,2019-04-11 18:11:48
57,58,Batman,97,2019-04-11 18:11:48
58,59,Batna,2,2019-04-11 18:11:48
59,60,Battambang,18,2019-04-11 18:11:48
60,61,Baybay,75,2019-04-11 18:11:48
61,62,Bayugan,75,2019-04-11 18:11:48
62,63,Bchar,2,2019-04-11 18:11:48
63,64,Beira,63,2019-04-11 18:11:48
64,65,Bellevue,103,2019-04-11 18:11:48
65,66,Belm,15,2019-04-11 18:11:48
66,67,Benguela,4,2019-04-11 18:11:48
67,68,Beni-Mellal,62,2019-04-11 18:11:48
68,69,Benin City,69,2019-04-11 18:11:48
69,70,Bergamo,49,2019-04-11 18:11:48
70,71,Berhampore (Baharampur),44,2019-04-11 18:11:48
71,72,Bern,91,2019-04-11 18:11:48
72,73,Bhavnagar,44,2019-04-11 18:11:48
73,74,Bhilwara,44,2019-04-11 18:11:48
74,75,Bhimavaram,44,2019-04-11 18:11:48
75,76,Bhopal,44,2019-04-11 18:11:48
76,77,Bhusawal,44,2019-04-11 18:11:48
77,78,Bijapur,44,2019-04-11 18:11:48
78,79,Bilbays,29,2019-04-11 18:11:48
79,80,Binzhou,23,2019-04-11 18:11:48
